STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
5,10522.98689,147559.83752,29.18115,0.44311,10439.80241,4884.67572,0,1.0079680128735309,up,/home/pi/arducam/album-V2/IMG_1593337808.png,small
6,4884.67572,129553.11218,21.82434,0.20322,10522.98689,2154.48692,-1,0.46419099168905265,down,/home/pi/arducam/album-V2/IMG_1593337810.png,small
7,2154.48692,102858.87646,15.46411,0.03465,4884.67572,1364.11727,-2,0.4410706142024101,down,/home/pi/arducam/album-V2/IMG_1593337813.png,small
8,1364.11727,82945.36768,12.42432,0.01739,2154.48692,1032.96552,-3,0.6331517993156348,down,/home/pi/arducam/album-V2/IMG_1593337815.png,big
9,1032.96552,67402.21753,10.44348,0.02155,1364.11727,868.94414,-4,0.7572409958566099,down,/home/pi/arducam/album-V2/IMG_1593337817.png,big
10,868.94414,58139.82996,9.19885,0.01717,1032.96552,868.94414,-5,0.8412131123215032,down,/home/pi/arducam/album-V2/IMG_1593337820.png,big
1,10156.47889,146111.9801,29.03076,0.43182,10156.47889,10031.20919,3,0,up,/home/pi/arducam/album-V2/IMG_1593337836.png,big
2,10031.20919,145447.18726,29.01868,0.4195,10156.47889,9961.26534,2,0.9876660305843454,down,/home/pi/arducam/album-V2/IMG_1593337838.png,small
3,9961.26534,144781.99316,28.85022,0.42338,10031.20919,11244.23573,1,0.9930273759947379,down,/home/pi/arducam/album-V2/IMG_1593337841.png,small
4,11244.23573,150337.38135,30.13391,0.44994,9961.26534,10246.21613,0,1.1287959256389009,up,/home/pi/arducam/album-V2/IMG_1593337843.png,small
5,10246.21613,145128.89868,29.01526,0.39048,11244.23573,4587.92347,-1,0.9112416687123297,down,/home/pi/arducam/album-V2/IMG_1593337845.png,small
6,4587.92347,125814.38806,21.36572,0.19718,10246.21613,2071.12408,-2,0.4477675867647347,down,/home/pi/arducam/album-V2/IMG_1593337848.png,small
7,2071.12408,100466.54724,15.27612,0.03817,4587.92347,1337.67933,-3,0.45142951785113367,down,/home/pi/arducam/album-V2/IMG_1593337850.png,big
8,1337.67933,81883.01514,12.29504,0.01771,2071.12408,1023.3722,-4,0.6458711686650854,down,/home/pi/arducam/album-V2/IMG_1593337852.png,big
9,1023.3722,66985.33777,10.34973,0.02009,1337.67933,863.1183,-5,0.7650355186395831,down,/home/pi/arducam/album-V2/IMG_1593337855.png,big
10,863.1183,57864.51257,9.13379,0.01871,1023.3722,863.1183,-6,0.8434060452296828,down,/home/pi/arducam/album-V2/IMG_1593337857.png,big
1,1543.77776,30203.98804,8.17383,0.54946,1543.77776,1539.17227,3,0,up,/home/pi/arducam/album-V2/IMG_1593338378.png,big
2,1539.17227,30117.85645,8.10901,0.56031,1543.77776,1520.78883,2,0.9970167402852079,down,/home/pi/arducam/album-V2/IMG_1593338381.png,small
3,1520.78883,29938.90613,8.08203,0.55068,1539.17227,1611.52573,1,0.9880562817052311,down,/home/pi/arducam/album-V2/IMG_1593338383.png,small
4,1611.52573,30488.9635,7.92664,0.55713,1520.78883,1314.65336,0,1.0596643651045228,up,/home/pi/arducam/album-V2/IMG_1593338385.png,small
5,1314.65336,29635.87817,5.91357,0.56783,1611.52573,824.00478,-1,0.8157817995248515,down,/home/pi/arducam/album-V2/IMG_1593338388.png,small
6,824.00478,26640.73596,4.84631,0.44542,1314.65336,542.57306,-2,0.6267848279032276,down,/home/pi/arducam/album-V2/IMG_1593338390.png,small
7,542.57306,23510.56836,3.85266,0.29206,824.00478,373.40586,-3,0.6584586317569664,down,/home/pi/arducam/album-V2/IMG_1593338392.png,big
8,373.40586,20480.08264,3.18994,0.17441,542.57306,272.69424,-4,0.6882130491329591,down,/home/pi/arducam/album-V2/IMG_1593338395.png,big
9,272.69424,18438.71484,2.76172,0.11617,373.40586,222.9783,-5,0.7302891282959512,down,/home/pi/arducam/album-V2/IMG_1593338397.png,big
10,222.9783,17113.9668,2.50781,0.08855,272.69424,222.9783,-6,0.8176861381450522,down,/home/pi/arducam/album-V2/IMG_1593338399.png,big
1,1181.59668,14736.67017,9.05933,0.34087,1181.59668,1178.94977,0,0,up,/home/pi/arducam/album-V2/IMG_1593338499.png,small
2,1178.94977,14724.87939,9.03235,0.33333,1181.59668,1179.59471,-1,0.9977598870707726,down,/home/pi/arducam/album-V2/IMG_1593338502.png,small
3,1179.59471,14760.15576,9.05176,0.32451,1178.94977,1170.91007,-2,1.0005470462070662,up,/home/pi/arducam/album-V2/IMG_1593338504.png,small
4,1170.91007,14402.26355,9.36121,0.35875,1179.59471,1178.56359,-3,0.9926376068607495,down,/home/pi/arducam/album-V2/IMG_1593338506.png,big
5,1178.56359,16636.57947,9.51086,0.37595,1170.91007,839.84841,-4,1.006536385838752,up,/home/pi/arducam/album-V2/IMG_1593338509.png,big
6,839.84841,17315.49768,8.43127,0.24772,1178.56359,496.50977,-5,0.7126033903694581,down,/home/pi/arducam/album-V2/IMG_1593338511.png,big
7,496.50977,15596.37317,7.40137,0.16235,839.84841,331.49834,-6,0.5911897481594328,down,/home/pi/arducam/album-V2/IMG_1593338513.png,big
8,331.49834,13446.68408,6.12195,0.09151,496.50977,238.99187,-7,0.6676572346199753,down,/home/pi/arducam/album-V2/IMG_1593338516.png,big
9,238.99187,11580.19299,5.22754,0.05583,331.49834,210.40043,-8,0.7209443944726843,down,/home/pi/arducam/album-V2/IMG_1593338518.png,big
10,210.40043,10716.33398,4.89392,0.04281,238.99187,210.40043,-9,0.880366474390949,down,/home/pi/arducam/album-V2/IMG_1593338520.png,big
1,1648.3269,17330.97961,9.46045,0.41126,1648.3269,1649.91364,4,0,up,/home/pi/arducam/album-V2/IMG_1593338689.png,big
2,1649.91364,17362.29517,9.47656,0.40273,1648.3269,1657.38657,3,1.0009626367196944,up,/home/pi/arducam/album-V2/IMG_1593338692.png,big
3,1657.38657,17420.2406,9.45483,0.42637,1649.91364,1626.50348,2,1.0045292855449088,up,/home/pi/arducam/album-V2/IMG_1593338694.png,small
4,1626.50348,16895.19934,9.4563,0.39728,1657.38657,1694.26829,1,0.9813663929954496,down,/home/pi/arducam/album-V2/IMG_1593338696.png,small
5,1694.26829,19449.67566,9.73718,0.42207,1626.50348,1082.72785,0,1.0416628742780187,up,/home/pi/arducam/album-V2/IMG_1593338698.png,small
6,1082.72785,20142.58276,7.70325,0.3101,1694.26829,647.89456,-1,0.639053363856559,down,/home/pi/arducam/album-V2/IMG_1593338701.png,small
7,647.89456,18050.77576,6.99072,0.23322,1082.72785,429.71617,-2,0.5983909622348773,down,/home/pi/arducam/album-V2/IMG_1593338703.png,small
8,429.71617,15347.0072,6.00085,0.15026,647.89456,320.04617,-3,0.6632501590999622,down,/home/pi/arducam/album-V2/IMG_1593338705.png,big
9,320.04617,13092.67175,5.15674,0.10481,429.71617,270.99607,-4,0.7447850286853297,down,/home/pi/arducam/album-V2/IMG_1593338708.png,big
10,270.99607,12037.13074,4.84424,0.06383,320.04617,270.99607,-5,0.8467405499650252,down,/home/pi/arducam/album-V2/IMG_1593338710.png,big
1,2068.4647,18662.46338,10.41577,0.36085,2068.4647,2068.75868,1,0,up,/home/pi/arducam/album-V2/IMG_1593338951.png,small
2,2068.75868,18684.44238,10.40454,0.36321,2068.4647,2064.79189,0,1.0001421247362838,up,/home/pi/arducam/album-V2/IMG_1593338953.png,small
3,2064.79189,18693.26599,10.38867,0.37617,2068.75868,2005.56032,-1,0.9980825264742818,down,/home/pi/arducam/album-V2/IMG_1593338956.png,small
4,2005.56032,17953.54419,10.36658,0.3536,2064.79189,1975.19362,-2,0.9713135399810197,down,/home/pi/arducam/album-V2/IMG_1593338958.png,small
5,1975.19362,20057.2865,10.63733,0.41162,2005.56032,1396.58662,-3,0.9848587451111916,down,/home/pi/arducam/album-V2/IMG_1593338960.png,big
6,1396.58662,22366.82581,8.77551,0.28132,1975.19362,795.48036,-4,0.7070631485737586,down,/home/pi/arducam/album-V2/IMG_1593338963.png,big
7,795.48036,20458.27795,8.37781,0.22335,1396.58662,514.61086,-5,0.5695889883292738,down,/home/pi/arducam/album-V2/IMG_1593338965.png,big
8,514.61086,17453.01038,6.99524,0.17321,795.48036,375.05723,-6,0.6469183726924446,down,/home/pi/arducam/album-V2/IMG_1593338967.png,big
9,375.05723,14762.1134,6.05164,0.09692,514.61086,315.17053,-7,0.7288171687632088,down,/home/pi/arducam/album-V2/IMG_1593338969.png,big
10,315.17053,13498.30054,5.55945,0.06813,375.05723,315.17053,-8,0.8403265016381632,down,/home/pi/arducam/album-V2/IMG_1593338972.png,big
1,1555.80689,15842.6488,10.95178,0.31163,1555.80689,1562.19939,4,0,up,/home/pi/arducam/album-V2/IMG_1593339058.png,big
2,1562.19939,15721.03906,10.81775,0.29535,1555.80689,1565.152,3,1.004108800418026,up,/home/pi/arducam/album-V2/IMG_1593339060.png,big
3,1565.152,15770.31116,10.89307,0.29167,1562.19939,1551.18756,2,1.001890034024402,up,/home/pi/arducam/album-V2/IMG_1593339062.png,small
4,1551.18756,15433.47607,10.44849,0.25891,1565.152,1610.20745,1,0.9910779016990043,down,/home/pi/arducam/album-V2/IMG_1593339065.png,small
5,1610.20745,17066.14038,11.10999,0.36691,1551.18756,1037.23603,0,1.0380481970858508,up,/home/pi/arducam/album-V2/IMG_1593339067.png,small
6,1037.23603,17939.59485,9.48108,0.24057,1610.20745,631.56672,-1,0.6441629803662876,down,/home/pi/arducam/album-V2/IMG_1593339069.png,small
7,631.56672,16738.95569,8.36462,0.1878,1037.23603,421.74639,-2,0.6088939274506305,down,/home/pi/arducam/album-V2/IMG_1593339072.png,small
8,421.74639,14449.55383,6.90625,0.1373,631.56672,311.91181,-3,0.6677780456829644,down,/home/pi/arducam/album-V2/IMG_1593339074.png,big
9,311.91181,12584.89734,6.03027,0.10173,421.74639,265.60612,-4,0.7395719735739765,down,/home/pi/arducam/album-V2/IMG_1593339076.png,big
10,265.60612,11549.0625,5.57898,0.07795,311.91181,265.60612,-5,0.8515423638495765,down,/home/pi/arducam/album-V2/IMG_1593339079.png,big
1,1205.07704,13440.16577,9.98206,0.29783,1205.07704,1205.83099,4,0,up,/home/pi/arducam/album-V2/IMG_1593339496.png,big
2,1205.83099,13716.3136,10.2052,0.30512,1205.07704,1196.897,3,1.000625644647582,up,/home/pi/arducam/album-V2/IMG_1593339498.png,big
3,1196.897,13642.01611,10.18469,0.31155,1205.83099,1182.58033,2,0.9925910097898546,down,/home/pi/arducam/album-V2/IMG_1593339500.png,small
4,1182.58033,13318.46411,10.02063,0.33781,1196.897,1223.28906,1,0.9880385112503416,down,/home/pi/arducam/album-V2/IMG_1593339503.png,small
5,1223.28906,14758.57495,10.68701,0.3853,1182.58033,787.24669,0,1.0344236488357625,up,/home/pi/arducam/album-V2/IMG_1593339505.png,small
6,787.24669,15116.76685,8.79224,0.34259,1223.28906,521.82421,-1,0.6435491951509809,down,/home/pi/arducam/album-V2/IMG_1593339507.png,small
7,521.82421,14132.72998,7.56409,0.24178,787.24669,368.42473,-2,0.6628471311832381,down,/home/pi/arducam/album-V2/IMG_1593339509.png,small
8,368.42473,12383.46497,6.4801,0.18854,521.82421,280.37047,-3,0.7060322670732353,down,/home/pi/arducam/album-V2/IMG_1593339512.png,big
9,280.37047,11037.4364,5.83362,0.12057,368.42473,243.17421,-4,0.7609979655817349,down,/home/pi/arducam/album-V2/IMG_1593339514.png,big
10,243.17421,10260.90942,5.45349,0.1198,280.37047,243.17421,-5,0.8673317485967762,down,/home/pi/arducam/album-V2/IMG_1593339516.png,big
1,1437.27627,15382.88062,10.51233,0.33114,1437.27627,1431.2618,4,0,up,/home/pi/arducam/album-V2/IMG_1593339535.png,big
2,1431.2618,15316.30396,10.42236,0.34513,1437.27627,1431.55914,3,0.9958153695809644,down,/home/pi/arducam/album-V2/IMG_1593339537.png,big
3,1431.55914,15351.88721,10.47974,0.36304,1431.2618,1444.87829,2,1.000207746758839,up,/home/pi/arducam/album-V2/IMG_1593339539.png,small
4,1444.87829,15345.87317,10.35999,0.3296,1431.55914,1524.99642,1,1.0093039467443867,up,/home/pi/arducam/album-V2/IMG_1593339541.png,small
5,1524.99642,17808.53479,10.74219,0.36564,1444.87829,946.56952,0,1.055449743106044,up,/home/pi/arducam/album-V2/IMG_1593339544.png,small
6,946.56952,18130.55212,8.96313,0.27816,1524.99642,629.54016,-1,0.6207027817153827,down,/home/pi/arducam/album-V2/IMG_1593339546.png,small
7,629.54016,17071.75867,8.09814,0.19149,946.56952,435.60052,-2,0.665075461124081,down,/home/pi/arducam/album-V2/IMG_1593339548.png,small
8,435.60052,14869.70239,6.87256,0.14824,629.54016,324.35484,-3,0.6919344430703198,down,/home/pi/arducam/album-V2/IMG_1593339551.png,big
9,324.35484,13032.5094,6.16016,0.12081,435.60052,276.18975,-4,0.7446153645546613,down,/home/pi/arducam/album-V2/IMG_1593339553.png,big
10,276.18975,11931.89197,5.66919,0.10427,324.35484,276.18975,-5,0.8515049443997814,down,/home/pi/arducam/album-V2/IMG_1593339555.png,big
1,1110.11042,12776.453,10.078,0.34452,1110.11042,1089.32568,4,0,up,/home/pi/arducam/album-V2/IMG_1593339628.png,big
2,1089.32568,12539.49011,10.00854,0.33333,1110.11042,1093.19205,3,0.9812768715385988,down,/home/pi/arducam/album-V2/IMG_1593339631.png,big
3,1093.19205,12564.53137,10.03369,0.34802,1089.32568,1053.13578,2,1.0035493242021065,up,/home/pi/arducam/album-V2/IMG_1593339633.png,small
4,1053.13578,12227.68616,9.82336,0.33333,1093.19205,1113.34612,1,0.9633584327657706,down,/home/pi/arducam/album-V2/IMG_1593339635.png,small
5,1113.34612,13864.42468,10.37061,0.38514,1053.13578,704.8371,0,1.0571724379167897,up,/home/pi/arducam/album-V2/IMG_1593339637.png,small
6,704.8371,13901.75964,8.6377,0.37089,1113.34612,468.80142,-1,0.6330799446267438,down,/home/pi/arducam/album-V2/IMG_1593339640.png,small
7,468.80142,12947.0647,7.2605,0.24654,704.8371,329.85592,-2,0.665120238421048,down,/home/pi/arducam/album-V2/IMG_1593339642.png,small
8,329.85592,11246.28748,6.16565,0.16912,468.80142,255.439,-3,0.7036154455334201,down,/home/pi/arducam/album-V2/IMG_1593339644.png,big
9,255.439,10062.62244,5.5918,0.15366,329.85592,220.90218,-4,0.7743956816054718,down,/home/pi/arducam/album-V2/IMG_1593339647.png,big
10,220.90218,9314.78601,5.27002,0.11491,255.439,220.90218,-5,0.8647942561629195,down,/home/pi/arducam/album-V2/IMG_1593339649.png,big
1,2179.26365,21646.61511,10.55933,0.42831,2179.26365,2169.2826,3,0,up,/home/pi/arducam/album-V2/IMG_1593339817.png,big
2,2169.2826,21590.9917,10.52185,0.45624,2179.26365,2180.95231,2,0.9954199896832125,down,/home/pi/arducam/album-V2/IMG_1593339819.png,small
3,2180.95231,21857.73145,10.57886,0.42251,2169.2826,2245.2762,1,1.005379525009789,up,/home/pi/arducam/album-V2/IMG_1593339821.png,small
4,2245.2762,22060.99854,10.70862,0.41728,2180.95231,2188.12548,0,1.029493487640727,up,/home/pi/arducam/album-V2/IMG_1593339824.png,small
5,2188.12548,24294.94409,10.97778,0.47584,2245.2762,1346.56169,-1,0.9745462406807681,down,/home/pi/arducam/album-V2/IMG_1593339826.png,small
6,1346.56169,24574.57825,9.31689,0.394,2188.12548,788.15757,-2,0.6153950960801389,down,/home/pi/arducam/album-V2/IMG_1593339828.png,small
7,788.15757,21835.34106,8.6051,0.26565,1346.56169,526.2772,-3,0.5853111490198417,down,/home/pi/arducam/album-V2/IMG_1593339831.png,big
8,526.2772,18719.15503,7.33716,0.17073,788.15757,386.22978,-4,0.6677309462370576,down,/home/pi/arducam/album-V2/IMG_1593339833.png,big
9,386.22978,16258.41296,6.38794,0.12758,526.2772,335.46406,-5,0.7338903908434566,down,/home/pi/arducam/album-V2/IMG_1593339835.png,big
10,335.46406,15177.96838,6.00085,0.10271,386.22978,335.46406,-6,0.868560834433844,down,/home/pi/arducam/album-V2/IMG_1593339837.png,big
1,1836.03322,21400.47302,11.59204,0.36022,1836.03322,1824.07541,4,0,up,/home/pi/arducam/album-V2/IMG_1593339895.png,big
2,1824.07541,21281.87354,11.42798,0.35432,1836.03322,1826.41142,3,0.9934871494318605,down,/home/pi/arducam/album-V2/IMG_1593339897.png,big
3,1826.41142,21373.33252,11.38586,0.35638,1824.07541,1842.86689,2,1.0012806542904933,up,/home/pi/arducam/album-V2/IMG_1593339899.png,small
4,1842.86689,21205.61084,11.40271,0.38376,1826.41142,1916.55315,1,1.0090097279396117,up,/home/pi/arducam/album-V2/IMG_1593339902.png,small
5,1916.55315,23451.15308,11.55237,0.40147,1842.86689,1092.63842,0,1.0399845807637251,up,/home/pi/arducam/album-V2/IMG_1593339904.png,small
6,1092.63842,22411.32251,10.05469,0.35065,1916.55315,648.17712,-1,0.5701059842770341,down,/home/pi/arducam/album-V2/IMG_1593339906.png,small
7,648.17712,19519.43738,8.58911,0.24309,1092.63842,449.56618,-2,0.5932219736516312,down,/home/pi/arducam/album-V2/IMG_1593339908.png,small
8,449.56618,16723.82996,7.37939,0.19811,648.17712,340.41187,-3,0.6935853891294405,down,/home/pi/arducam/album-V2/IMG_1593339911.png,big
9,340.41187,14727.62732,6.56921,0.15222,449.56618,295.81612,-4,0.7572007974443274,down,/home/pi/arducam/album-V2/IMG_1593339913.png,big
10,295.81612,13635.46204,6.13525,0.112,340.41187,295.81612,-5,0.8689947268877551,down,/home/pi/arducam/album-V2/IMG_1593339915.png,big
1,1520.65856,16531.57983,9.94043,0.24533,1520.65856,1534.27807,4,0,up,/home/pi/arducam/album-V2/IMG_1593340073.png,big
2,1534.27807,16657.47327,9.99536,0.27487,1520.65856,1529.14781,3,1.0089563235023646,up,/home/pi/arducam/album-V2/IMG_1593340075.png,big
3,1529.14781,16618.61987,9.94202,0.25197,1534.27807,1478.45159,2,0.9966562384613891,down,/home/pi/arducam/album-V2/IMG_1593340077.png,small
4,1478.45159,16052.8208,9.85852,0.248,1529.14781,1549.52101,1,0.9668467497592662,down,/home/pi/arducam/album-V2/IMG_1593340080.png,small
5,1549.52101,18464.11743,10.32886,0.29006,1478.45159,987.36929,0,1.048070170495065,up,/home/pi/arducam/album-V2/IMG_1593340082.png,small
6,987.36929,19077.92261,8.45349,0.241,1549.52101,626.22859,-1,0.6372093592974257,down,/home/pi/arducam/album-V2/IMG_1593340084.png,small
7,626.22859,17607.7677,7.7981,0.18006,987.36929,423.18143,-2,0.6342394850056559,down,/home/pi/arducam/album-V2/IMG_1593340086.png,small
8,423.18143,15223.2251,6.65649,0.12658,626.22859,319.09525,-3,0.6757619130739463,down,/home/pi/arducam/album-V2/IMG_1593340089.png,big
9,319.09525,13352.03503,5.87988,0.09425,423.18143,274.78889,-4,0.7540388764223421,down,/home/pi/arducam/album-V2/IMG_1593340091.png,big
10,274.78889,12298.33679,5.49756,0.08068,319.09525,274.78889,-5,0.8611500484573179,down,/home/pi/arducam/album-V2/IMG_1593340093.png,big
1,1273.8498,14603.22278,9.7644,0.23387,1273.8498,1287.38447,4,0,up,/home/pi/arducam/album-V2/IMG_1593340854.png,big
2,1287.38447,14599.65002,9.75208,0.22102,1273.8498,1283.01046,3,1.0106250124622227,up,/home/pi/arducam/album-V2/IMG_1593340856.png,big
3,1283.01046,14552.87524,9.63391,0.23656,1287.38447,1223.45129,2,0.9966024058065576,down,/home/pi/arducam/album-V2/IMG_1593340859.png,small
4,1223.45129,14001.16846,9.46924,0.2411,1283.01046,1311.07357,1,0.9535785779953813,down,/home/pi/arducam/album-V2/IMG_1593340861.png,small
5,1311.07357,16142.31763,10.20898,0.32143,1223.45129,822.56938,0,1.0716189362961888,up,/home/pi/arducam/album-V2/IMG_1593340863.png,small
6,822.56938,16211.54102,8.38635,0.23797,1311.07357,511.80867,-1,0.6274013898396259,down,/home/pi/arducam/album-V2/IMG_1593340866.png,small
7,511.80867,14724.74158,7.23242,0.19415,822.56938,348.1345,-2,0.6222072963620406,down,/home/pi/arducam/album-V2/IMG_1593340868.png,small
8,348.1345,12743.55981,6.1449,0.1372,511.80867,263.13509,-3,0.6802043818444888,down,/home/pi/arducam/album-V2/IMG_1593340870.png,big
9,263.13509,11393.90833,5.51318,0.09535,348.1345,224.59528,-4,0.7558431870440878,down,/home/pi/arducam/album-V2/IMG_1593340872.png,big
10,224.59528,10412.24585,5.16321,0.07888,263.13509,224.59528,-5,0.853536029725264,down,/home/pi/arducam/album-V2/IMG_1593340875.png,big
1,1488.55219,16763.18323,8.61206,0.55391,1488.55219,1485.94387,4,0,up,/home/pi/arducam/album-V2/IMG_1593342449.png,big
2,1485.94387,16753.21887,8.58289,0.55602,1488.55219,1500.56189,3,0.998247747027264,down,/home/pi/arducam/album-V2/IMG_1593342451.png,big
3,1500.56189,16806.81335,8.6012,0.57023,1485.94387,1490.02706,2,1.0098375317501056,up,/home/pi/arducam/album-V2/IMG_1593342453.png,small
4,1490.02706,16539.82275,8.72754,0.56344,1500.56189,1544.55999,1,0.9929794098662601,down,/home/pi/arducam/album-V2/IMG_1593342456.png,small
5,1544.55999,18777.18811,8.95422,0.54048,1490.02706,851.1219,0,1.0365986172090056,up,/home/pi/arducam/album-V2/IMG_1593342458.png,small
6,851.1219,17968.02771,7.41113,0.41379,1544.55999,439.16705,-1,0.5510448966116234,down,/home/pi/arducam/album-V2/IMG_1593342460.png,small
7,439.16705,15089.51062,6.24719,0.31881,851.1219,295.2119,-2,0.5159860767300195,down,/home/pi/arducam/album-V2/IMG_1593342462.png,small
8,295.2119,12802.92212,5.22327,0.1682,439.16705,218.40884,-3,0.6722086732144409,down,/home/pi/arducam/album-V2/IMG_1593342465.png,big
9,218.40884,10982.4303,4.4917,0.10352,295.2119,190.95079,-4,0.7398375200999688,down,/home/pi/arducam/album-V2/IMG_1593342467.png,big
10,190.95079,10283.62817,4.17834,0.09234,218.40884,190.95079,-5,0.8742814164481622,down,/home/pi/arducam/album-V2/IMG_1593342469.png,big
1,1407.54266,16254.86182,9.5293,0.43519,1407.54266,1408.20054,3,0,up,/home/pi/arducam/album-V2/IMG_1593342550.png,big
2,1408.20054,16277.89624,9.54688,0.40845,1407.54266,1407.7809,2,1.000467396135617,up,/home/pi/arducam/album-V2/IMG_1593342553.png,small
3,1407.7809,16304.39355,9.54089,0.41686,1408.20054,1436.93232,1,0.9997020026707275,down,/home/pi/arducam/album-V2/IMG_1593342555.png,small
4,1436.93232,16159.52002,9.59656,0.42725,1407.7809,1372.50063,0,1.0207073558108366,up,/home/pi/arducam/album-V2/IMG_1593342557.png,small
5,1372.50063,17588.22449,9.82666,0.47529,1436.93232,782.29297,-1,0.9551602472133135,down,/home/pi/arducam/album-V2/IMG_1593342559.png,small
6,782.29297,17088.82336,8.02722,0.35499,1372.50063,411.74439,-2,0.5699764013951673,down,/home/pi/arducam/album-V2/IMG_1593342562.png,small
7,411.74439,14669.74463,6.60303,0.25908,782.29297,265.47189,-3,0.526330167584147,down,/home/pi/arducam/album-V2/IMG_1593342564.png,big
8,265.47189,12207.96448,5.46265,0.13348,411.74439,199.55645,-4,0.6447492581501838,down,/home/pi/arducam/album-V2/IMG_1593342566.png,big
9,199.55645,10689.59961,4.79871,0.10851,265.47189,167.51148,-5,0.751704634340005,down,/home/pi/arducam/album-V2/IMG_1593342569.png,big
10,167.51148,9644.18994,4.36621,0.0919,199.55645,167.51148,-6,0.8394190215350092,down,/home/pi/arducam/album-V2/IMG_1593342571.png,big
